year,monarch,media,channel,place,context
1952,Elizabeth II,Radio,BBC,,
1953,Elizabeth II,Radio,BBC,"Auckland, NZ",
1954,Elizabeth II,Radio,BBC,Sandringham House,
1955,Elizabeth II,Radio,BBC,Sandringham House,
1956,Elizabeth II,Radio,BBC,Sandringham House,
1957,Elizabeth II,TV,BBC,Sandringham House,
1958,Elizabeth II,TV,BBC,Sandringham House,
1959,Elizabeth II,Radio,BBC,Buckingham Palace,
1960,Elizabeth II,Radio,BBC,Buckingham Palace,
1961,Elizabeth II,Radio,BBC,,
1962,Elizabeth II,Radio,BBC,Buckingham Palace,
1963,Elizabeth II,Radio,BBC,,
1964,Elizabeth II,TV,BBC,,
1965,Elizabeth II,TV,BBC,Buckingham Palace,
1966,Elizabeth II,TV,BBC,,
1967,Elizabeth II,TV,BBC,Buckingham Palace,first colorized broadcast
1968,Elizabeth II,TV,BBC,Buckingham Palace,
1969,Elizabeth II,Written message,,,
1970,Elizabeth II,TV,BBC,,"Due to the documentary ""Royal family"" broadcast in summer, The Queen issued a written message instead of her usual broadcast"
1971,Elizabeth II,TV,BBC,,
1972,Elizabeth II,TV,BBC,,
1973,Elizabeth II,TV,BBC,,
1974,Elizabeth II,TV,BBC,,
1975,Elizabeth II,TV,BBC,Buckingham Palace,
1976,Elizabeth II,TV,BBC,,
1977,Elizabeth II,TV,BBC,,
1978,Elizabeth II,TV,BBC,,
1979,Elizabeth II,TV,BBC,,first time using subtitles 
1980,Elizabeth II,TV,BBC,,
1981,Elizabeth II,TV,BBC,Buckingham Palace,
1982,Elizabeth II,TV,BBC,Windsor Castle,
1983,Elizabeth II,TV,BBC,,
1984,Elizabeth II,TV,BBC,,
1985,Elizabeth II,TV,BBC,,
1986,Elizabeth II,TV,BBC,Buckingham Palace,
1987,Elizabeth II,TV,BBC,,
1988,Elizabeth II,TV,BBC,,
1989,Elizabeth II,TV,BBC,Royal Albert Hall,
1990,Elizabeth II,TV,BBC,,
1991,Elizabeth II,TV,BBC,,
1992,Elizabeth II,TV,BBC,,
1993,Elizabeth II,TV,BBC,,
1994,Elizabeth II,TV,BBC,,
1995,Elizabeth II,TV,BBC,,
1996,Elizabeth II,TV,BBC,,
1997,Elizabeth II,TV,ITN,,first time published on internet
1998,Elizabeth II,TV,ITN,,
1999,Elizabeth II,TV,BBC,Windsor Castle,
2000,Elizabeth II,TV,BBC,,
2001,Elizabeth II,TV,ITN,,
2002,Elizabeth II,TV,ITN,Buckingham Palace,
2003,Elizabeth II,TV,BBC,,
2004,Elizabeth II,TV,BBC,,
2005,Elizabeth II,TV,ITN,,
2006,Elizabeth II,TV,ITN,,first time available for download as podcast
2007,Elizabeth II,TV,BBC,,
2008,Elizabeth II,TV,BBC,,
2009,Elizabeth II,TV,ITN,,
2010,Elizabeth II,TV,ITN,Hampton Court Palace,
2011,Elizabeth II,TV,Sky,,
2012,Elizabeth II,TV,Sky,,first 3D broadcast
2013,Elizabeth II,TV,BBC,,
2014,Elizabeth II,TV,BBC,,
2015,Elizabeth II,TV,ITN,,
2016,Elizabeth II,TV,ITN,Buckingham Palace,
2017,Elizabeth II,TV,Sky,,
2018,Elizabeth II,TV,Sky,,
2019,Elizabeth II,TV,BBC,Windsor Castle,
2020,Elizabeth II,TV,BBC,,"first time available on Amazon's  ""Alexa"" device"
2021,Elizabeth II,TV,ITN,Windsor Castle,
2022,Charles VI,TV,BBC,Windsor Castle,
2023,Charles VI,TV,ITN,Buckingham Palace,